City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
682,Canico,PT,80.13,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
683,Puerto Ayora,EC,84.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
691,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
702,Diego De Almagro,CL,81.88,clear sky,-26.3667,-70.05,hotel luna del desierto
705,Kahului,US,81.34,clear sky,20.8947,-156.47,Maui Seaside Hotel
707,Avera,US,89.91,broken clouds,33.194,-82.5271,
719,Gibara,CU,90.72,overcast clouds,21.1097,-76.1317,Sol y Mar
725,Sola,VU,81.27,few clouds,-13.8833,167.55,Leumerus Bungalows
726,Butaritari,KI,82.35,light rain,3.0707,172.7902,Isles Sunset Lodge
738,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
740,Umm Lajj,SA,87.71,clear sky,25.0213,37.2685,Moon light Furnished Units
755,Mumford,GH,80.78,scattered clouds,5.2618,-0.759,Spanish Villa
763,Talavera De La Reina,ES,90.61,scattered clouds,39.9635,-4.8308,Be Live City Center Talavera
765,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
770,San Francisco Del Mar,MX,80.65,overcast clouds,16.2333,-94.65,
772,San Fernando,PH,81.14,overcast clouds,15.0286,120.6898,Maharlika Hostel
774,Morwa,IN,85.6,clear sky,22.9,73.8333,mahakali maa hotel
777,Castanos,MX,93.72,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
778,Jamestown,US,83.01,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
779,Elizabeth City,US,84.02,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
784,Mopti,ML,96.84,clear sky,14.6667,-4.0,
790,Merritt Island,US,98.15,broken clouds,28.5392,-80.672,
795,Buraydah,SA,90.52,clear sky,26.326,43.975,فندق راحة السلام
797,Salalah,OM,84.29,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
806,Bondoukou,CI,80.85,light rain,8.0333,-2.8,Prestige Hotel
808,Brive-La-Gaillarde,FR,81.28,broken clouds,45.25,1.5,Logis Hôtel la Gamade
810,Thinadhoo,MV,83.95,scattered clouds,0.5333,72.9333,
812,Bolobo,CD,81.01,overcast clouds,-2.1667,16.2333,Hotel de Stephen
817,Hithadhoo,MV,83.97,broken clouds,-0.6,73.0833,Scoop Guest House
821,Kavieng,PG,81.77,light rain,-2.5744,150.7967,Nusa Island Retreat
826,Hamilton,US,89.74,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
828,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Poutur Pousada
829,Palm Coast,US,95.09,scattered clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
832,Inirida,CO,87.42,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
837,East Hemet,US,91.27,clear sky,33.74,-116.9389,Vagabond Inn Hemet
846,Nacogdoches,US,89.24,broken clouds,31.6002,-94.6335,The Fredonia Hotel & Convention Center
852,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
853,Barra,BR,88.61,scattered clouds,-11.0894,-43.1417,Motel Albatroz
855,Punta Cardon,VE,85.77,overcast clouds,11.6581,-70.215,Bambuda hotel
856,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
858,Sunrise Manor,US,90.19,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
862,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
864,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
865,Mapastepec,MX,84.79,overcast clouds,15.4333,-92.9,Hotel San Carlos
866,Virginia Beach,US,84.11,overcast clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
870,Pilar,BR,80.53,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
871,Sao Joao Da Barra,BR,82.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
872,Puerto Boyaca,CO,90.66,broken clouds,5.9758,-74.5885,hotel juanes
876,Tshikapa,CD,80.1,scattered clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
878,Iralaya,HN,84.29,overcast clouds,15.0,-83.2333,Iglesia morava renovada
879,Sawakin,SD,92.55,scattered clouds,19.1059,37.3321,فندق الدويم
885,Boende,CD,80.56,broken clouds,-0.2167,20.8667,
889,Sao Miguel Do Araguaia,BR,91.99,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
891,Ambon,ID,80.28,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
897,Houma,US,91.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
899,Lorengau,PG,80.28,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
909,Santa Marta,CO,93.34,scattered clouds,11.2408,-74.199,Casa de Isabella
910,Victoria,HK,83.32,light rain,22.2855,114.1577,Mini Hotel Central
911,Adre,TD,89.67,broken clouds,13.4667,22.2,
913,Sibut,CF,81.25,overcast clouds,5.718,19.0739,
919,Panalingaan,PH,80.42,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
930,Kayes,ML,93.96,overcast clouds,14.0,-11.0,
932,Bandiagara,ML,95.43,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
943,Goderich,CA,83.21,scattered clouds,43.7501,-81.7165,Harmony Inn
945,Kibala,TD,89.55,clear sky,9.1104,18.3463,hotel safari
947,San Patricio,US,92.07,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
953,New London,US,81.03,clear sky,41.4834,-72.0662,Hyatt Place Mohegan Sun
967,Saint George,US,84.34,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
970,Sulphur,US,90.21,scattered clouds,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
973,Kavaratti,IN,83.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
974,Santo Domingo,DO,87.48,broken clouds,18.5001,-69.9886,Cabañas City Heart
976,Punto Fijo,VE,86.95,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
977,Kulhudhuffushi,MV,82.74,broken clouds,6.6221,73.07,Haajy Guest House 1
990,Vallenar,CL,84.96,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
991,Cayenne,GF,84.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
1003,Nieuw Amsterdam,SR,84.36,scattered clouds,5.8833,-55.0833,Globe Hotel
1005,Itarema,BR,83.7,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
1008,Ormara,PK,84.07,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
1012,Sabang,ID,83.55,overcast clouds,5.8933,95.3214,Hotel Citra
1014,Ixtapa,MX,88.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
1030,Oranjestad,AW,89.55,broken clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
1039,Cajaruro,PE,85.73,light rain,-5.7364,-78.4256,Hotel Kuelap
1052,Grants,US,82.63,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
1054,Umaria,IN,80.56,overcast clouds,23.5333,80.8333,Krishna Palace
1073,Snyder,US,93.54,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
1075,Garmsar,IR,91.89,clear sky,35.2182,52.3409,Peyvand Hotel
1078,Kilgore,US,89.02,broken clouds,32.3863,-94.8758,Best Western Inn Of Kilgore
1083,Azuaga,ES,87.96,clear sky,38.2667,-5.6833,Casa Rural La Hoya
1086,Sinnamary,GF,80.74,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
1096,Tual,ID,81.12,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
