City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Surt,LY,31.2089,16.5887,72.01,77,0,12.39,
1,Kapaa,US,22.0752,-159.319,79.12,69,75,4.0,
2,Ushuaia,AR,-54.8,-68.3,40.66,75,0,1.14,
3,Hilo,US,19.7297,-155.09,77.79,76,1,3.44,
4,Luderitz,NA,-26.6481,15.1594,62.8,53,60,3.22,
5,Kodiak,US,57.79,-152.4072,49.51,81,90,4.61,
6,Vanimo,PG,-2.6741,141.3028,76.1,89,55,6.04,
7,Canico,PT,32.6333,-16.85,77.63,53,20,19.57,
8,Puerto Ayora,EC,-0.7393,-90.3518,84.16,87,84,5.99,
9,Wagar,SD,16.1525,36.2032,100.74,18,66,4.29,
10,Pisco,PE,-13.7,-76.2167,68.05,68,90,17.27,
11,Busselton,AU,-33.65,115.3333,53.1,84,87,3.96,
12,Nanakuli,US,21.3906,-158.1547,78.75,83,1,6.91,
13,Cape Town,ZA,-33.9258,18.4232,64.11,50,0,9.22,
14,Punta Arenas,CL,-53.15,-70.9167,41.02,90,0,6.91,
15,Nyurba,RU,63.2842,118.3319,40.95,79,48,5.5,
16,Georgetown,MY,5.4112,100.3354,82.89,82,20,1.14,
17,Barrow,US,71.2906,-156.7887,39.22,81,90,8.05,
18,Golyshmanovo,RU,56.3979,68.3728,50.59,76,34,3.96,
19,Bethel,US,41.3712,-73.414,79.81,44,1,1.01,
20,Albany,US,42.6001,-73.9662,78.31,53,95,1.99,
21,Sorland,NO,67.667,12.6934,53.67,98,100,16.26,
22,Codrington,AU,-38.2667,141.9667,48.24,91,6,5.64,
23,Nouadhibou,MR,20.931,-17.0347,75.18,69,5,11.5,
24,Olafsvik,IS,64.8945,-23.7142,43.34,59,90,15.37,
25,Lasa,IT,46.6166,10.7002,69.71,86,73,5.28,
26,Norman Wells,CA,65.282,-126.8329,59.04,67,75,4.61,
27,Diego De Almagro,CL,-26.3667,-70.05,81.88,5,0,7.11,
28,Quang Ngai,VN,15.1167,108.8,77.92,88,100,3.71,
29,Talnakh,RU,69.4865,88.3972,34.16,100,100,3.38,
30,Kahului,US,20.8947,-156.47,81.34,65,1,6.91,
31,Urumqi,CN,43.801,87.6005,61.75,82,0,11.18,
32,Avera,US,33.194,-82.5271,89.91,64,84,12.01,
33,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,83,75,8.05,
34,Solwezi,ZM,-12.1688,26.3894,57.33,54,0,3.09,
35,Bairiki,KI,1.3292,172.9752,78.8,89,20,6.91,
36,Bluff,NZ,-46.6,168.3333,42.93,87,12,7.0,
37,Hobart,AU,-42.8794,147.3294,57.02,94,90,3.0,
38,Cidreira,BR,-30.1811,-50.2056,59.67,55,3,16.17,
39,Avarua,CK,-21.2078,-159.775,71.65,83,75,9.22,
40,Bredasdorp,ZA,-34.5322,20.0403,54.72,94,75,3.44,
41,Westport,US,41.1415,-73.3579,79.61,58,1,1.01,
42,Erenhot,CN,43.6475,111.9767,72.52,34,68,17.81,
43,Atuona,PF,-9.8,-139.0333,78.96,76,15,14.99,
44,Gibara,CU,21.1097,-76.1317,90.72,67,93,10.0,
45,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,75,14.97,
46,Camrose,CA,53.0168,-112.8353,63.82,58,0,9.86,
47,Mar Del Plata,AR,-38.0023,-57.5575,54.12,60,0,8.01,
48,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,87,40,8.05,
49,Longyearbyen,SJ,78.2186,15.6401,37.24,60,75,2.3,
50,Sola,VU,-13.8833,167.55,81.27,74,20,11.5,
51,Butaritari,KI,3.0707,172.7902,82.35,73,44,12.37,
52,Rikitea,PF,-23.1203,-134.9692,75.18,84,91,16.6,
53,Altamont,US,42.2068,-121.7372,60.78,42,90,3.0,
54,Dikson,RU,73.5069,80.5464,31.89,99,100,4.97,
55,Mataura,NZ,-46.1927,168.8643,37.26,95,15,3.15,
56,Kieta,PG,-6.2167,155.6333,78.85,85,16,5.12,
57,Vilhena,BR,-12.7406,-60.1458,74.59,83,72,6.96,
58,Nikolskoye,RU,59.7035,30.7861,71.49,61,100,6.24,
59,Ponta Do Sol,PT,32.6667,-17.1,77.63,61,0,5.64,
60,Fare,PF,-16.7,-151.0167,76.82,82,97,3.83,
61,Nantucket,US,41.2835,-70.0995,68.14,71,1,18.41,
62,La Paz,BO,-16.5,-68.15,54.77,40,60,11.77,
63,Coahuayana,MX,18.7333,-103.6833,89.08,48,100,7.29,
64,Muswellbrook,AU,-32.2667,150.9,45.32,93,97,5.12,
65,Umm Lajj,SA,25.0213,37.2685,87.71,59,0,7.58,
66,Tigil,RU,57.8,158.6667,43.02,94,100,4.45,
67,Tura,IN,25.5198,90.2201,73.56,97,99,3.96,
68,Pevek,RU,69.7008,170.3133,31.84,90,58,7.38,
69,Te Anau,NZ,-45.4167,167.7167,41.07,91,16,1.21,
70,Fort Saint James,CA,54.4333,-124.25,59.92,36,14,4.83,
71,Turukhansk,RU,65.8167,87.9833,46.47,99,100,8.63,
72,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,87,18.81,
73,Weligama,LK,5.9667,80.4167,79.59,86,57,10.63,
74,Port Alfred,ZA,-33.5906,26.891,68.86,62,8,10.56,
75,Thompson,CA,55.7435,-97.8558,66.36,52,75,11.5,
76,East London,ZA,-33.0153,27.9116,63.54,72,0,4.61,
77,Tuatapere,NZ,-46.1333,167.6833,42.93,89,8,4.79,
78,Sobolevo,RU,54.4299,31.8996,58.69,91,86,5.08,
79,Verkhnyaya Inta,RU,65.9811,60.3094,61.39,56,100,10.54,
80,Mumford,GH,5.2618,-0.759,80.78,79,49,15.84,
81,Sao Filipe,CV,14.8961,-24.4956,74.16,83,14,5.46,
82,Upernavik,GL,72.7868,-56.1549,34.9,94,21,11.72,
83,Hermanus,ZA,-34.4187,19.2345,63.9,67,93,2.44,
84,New Norfolk,AU,-42.7826,147.0587,56.66,85,100,1.01,
85,Fairbanks,US,64.8378,-147.7164,59.09,69,90,3.44,
86,Vaini,TO,-21.2,-175.2,73.58,61,39,25.7,
87,Chokurdakh,RU,70.6333,147.9167,46.13,55,3,8.34,
88,Talavera De La Reina,ES,39.9635,-4.8308,90.61,14,29,3.09,
89,Okhotsk,RU,59.3833,143.3,46.45,62,87,3.74,
90,Cabedelo,BR,-6.9811,-34.8339,83.07,73,20,14.92,
91,Kuala Terengganu,MY,5.3302,103.1408,79.25,81,96,5.14,
92,Dovolnoye,RU,54.4958,79.6671,46.62,78,74,6.46,
93,Upington,ZA,-28.4478,21.2561,61.18,39,0,8.05,
94,Saldanha,ZA,-33.0117,17.9442,57.25,78,73,6.67,
95,San Francisco Del Mar,MX,16.2333,-94.65,80.65,71,100,2.62,
96,Rocha,UY,-34.4833,-54.3333,53.2,65,78,12.68,
97,San Fernando,PH,15.0286,120.6898,81.14,92,100,1.95,
98,Bom Sucesso,BR,-21.0331,-44.7581,71.49,63,77,8.34,
99,Morwa,IN,22.9,73.8333,85.6,64,3,18.99,
100,Beringovskiy,RU,63.05,179.3167,35.94,99,100,6.31,
101,Korolevo,UA,48.1525,23.1366,73.11,75,62,4.61,
102,Castanos,MX,26.7833,-101.4167,93.72,26,1,6.11,
103,Jamestown,US,42.097,-79.2353,83.01,56,20,1.01,
104,Elizabeth City,US,36.2946,-76.2511,84.02,83,75,4.61,
105,Lixourion,GR,38.2019,20.4314,75.06,94,20,4.61,
106,Khatanga,RU,71.9667,102.5,34.88,71,17,0.96,
107,Hasaki,JP,35.7333,140.8333,63.28,75,100,9.15,
108,Parkes,AU,-33.1333,148.1833,38.16,93,1,6.29,
109,Mopti,ML,14.6667,-4.0,96.84,38,0,11.5,
