City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avarua,20,CK,2021-06-11 05:40:21,69,-21.2078,-159.775,75.25,5.75
1,Umtata,0,ZA,2021-06-11 05:41:09,87,-31.5889,28.7844,43.36,2.3
2,Avera,100,US,2021-06-11 05:41:09,88,33.194,-82.5271,77.72,6.22
3,Cidreira,88,BR,2021-06-11 05:40:42,92,-30.1811,-50.2056,59.95,13.24
4,Thompson,75,CA,2021-06-11 05:40:28,76,55.7435,-97.8558,55.56,8.05
5,Bengkulu,69,ID,2021-06-11 05:40:39,65,-3.8004,102.2655,84.31,6.55
6,Nachingwea,5,TZ,2021-06-11 05:41:10,66,-10.3833,38.7667,70.39,4.85
7,Hassan,100,IN,2021-06-11 05:41:10,62,13.0006,76.0994,75.79,15.73
8,Rikitea,100,PF,2021-06-11 05:40:06,74,-23.1203,-134.9692,73.35,18.84
9,Kodiak,90,US,2021-06-11 05:40:45,87,57.79,-152.4072,47.71,13.8
10,Punta Arenas,90,CL,2021-06-11 05:40:07,87,-53.15,-70.9167,37.51,5.75
11,Zhezkazgan,0,KZ,2021-06-11 05:41:11,32,47.8043,67.7144,77.77,9.46
12,San Patricio,91,US,2021-06-11 05:40:22,88,28.017,-97.5169,82.29,10.96
13,Mopti,80,ML,2021-06-11 05:41:11,49,14.6667,-4.0,86.36,15.93
14,Narsaq,100,GL,2021-06-11 05:41:11,93,60.9167,-46.05,39.42,2.75
15,Albany,7,US,2021-06-11 05:35:33,79,42.6001,-73.9662,58.95,4.32
16,Fairbanks,40,US,2021-06-11 05:38:11,51,64.8378,-147.7164,63.61,1.01
17,Ushuaia,75,AR,2021-06-11 05:37:15,60,-54.8,-68.3,40.66,11.5
18,Bethel,1,US,2021-06-11 05:39:13,76,41.3712,-73.414,61.11,3.44
19,Kapaa,75,US,2021-06-11 05:40:39,75,22.0752,-159.319,82.38,5.99
20,South Venice,90,US,2021-06-11 05:41:12,86,27.0531,-82.4243,82.98,0.0
21,Dingle,99,PH,2021-06-11 05:40:35,67,10.9995,122.6711,87.57,8.5
22,Abnub,0,EG,2021-06-11 05:41:13,18,27.2696,31.1511,80.82,11.12
23,Cururupu,100,BR,2021-06-11 05:38:33,99,-1.8283,-44.8683,72.32,4.47
24,Guerrero Negro,7,MX,2021-06-11 05:41:13,79,27.9769,-114.0611,62.15,17.98
25,Mandera,40,KE,2021-06-11 05:41:13,47,3.9366,41.867,81.99,20.49
26,Mecca,6,SA,2021-06-11 05:39:21,9,21.4267,39.8261,102.42,7.23
27,Sabla,67,NG,2021-06-11 05:41:14,48,12.7525,4.7077,85.28,8.25
28,Upernavik,0,GL,2021-06-11 05:40:38,86,72.7868,-56.1549,33.4,2.35
29,Byron Bay,75,AU,2021-06-11 05:37:16,56,-28.65,153.6167,66.31,4.47
